what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780031562342
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1780031567967
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780031568944
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780031571425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031578709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031586882
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780031591376
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780031596232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031597493
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031598393
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031600879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031653238
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780031655274
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780031775742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031778292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031781149
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780031781262
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031793626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031798134
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780031799479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031803429
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031822896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031825262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031826194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031831432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031854983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031857945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031858299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031858927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031860835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031865049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031873613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031873959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031878612
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780031879757
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031904780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031975543
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1780031978774
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780031978963
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1780031979613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031979948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780031985953
