what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780022624709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780022631889
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1780022631924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780022636872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780022637971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780022638794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780022641094
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780022641496
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1780022643037
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1780022643057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780022651851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780022662859
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780022675163
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1780022678075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780022678537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780022703762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780022705345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780022744154
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780022747946
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780022753004
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780022753681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780022783482
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780022799281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780022799865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780022800781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780022803018
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780023208630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780023210303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780023651110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780023774977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780023864983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780023865810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780023996329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780023997180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780023999680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1780024000638
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1780024001152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1780024001840
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780024006279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024009174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024010426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024011102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024014919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024017481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024176386
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780024176716
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1780024177051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1780024177521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1780024177967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024178345
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024200920
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780024242769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024245679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024246647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024246783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024312162
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780024312592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1780024312922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1780024313377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1780024313792
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780024315193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024320565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024321526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024323520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024344183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024351915
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024352417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024354261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024355925
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024360026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024360124
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024361548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024367413
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780024373303
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1780024373821
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1780024381398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1780024398812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024399298
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024401358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024407277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024486448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024495712
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024702235
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024740558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024747243
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024749963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024752882
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780024761541
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780024762300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024780932
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024786526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024788327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024791490
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024793352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780024798695
